id,wkt_geom,nombre,linea,lon,lat,geopoint
182,PointZ (-99.14865100000000098 19.44022899999999865 0),Mina,Línea 3,-99.148651,19.440229,"19.440229,-99.148651"
183,PointZ (-99.15212200000000564 19.4461359999999992 0),Buenavista - Línea 3,Línea 3,-99.152122,19.446136,"19.446136,-99.152122"
184,PointZ (-99.14598100000000613 19.47367300000000157 0),Cuitláhuac,Línea 3,-99.145981,19.473673,"19.473673,-99.145981"
185,PointZ (-99.15419799999999384 19.49548000000000059 0),Montevideo,Línea 3,-99.154198,19.49548,"19.49548,-99.154198"
186,PointZ (-99.15716600000000369 19.50331299999999857 0),La Patera,Línea 3,-99.157166,19.503313,"19.503313,-99.157166"
187,PointZ (-99.16352100000000291 19.51908299999999841 0),Progreso Nacional,Línea 3,-99.163521,19.519083,"19.519083,-99.163521"
188,PointZ (-99.16572600000000648 19.52291699999999963 0),San José de la Escalera,Línea 3,-99.165726,19.522917,"19.522917,-99.165726"
189,PointZ (-99.17001299999999731 19.52963400000000149 0),Metrobus Tenayuca,Línea 3,-99.170013,19.529634,"19.529634,-99.170013"
190,PointZ (-99.14482900000000143 19.470638000000001 0),Héroe de Nacozari,Línea 3,-99.144829,19.470638,"19.470638,-99.144829"
191,PointZ (-99.08366399999999885 19.43530700000000166 0),Terminal 1 - Aeropuerto,Línea 4,-99.083664,19.435307,"19.435307,-99.083664"
192,PointZ (-99.15226699999999482 19.44486200000000053 0),Buenavista. Línea 4,Línea 4,-99.152267,19.444862,"19.444862,-99.152267"
193,PointZ (-99.15245099999998502 19.44213699999999889 0),Delegación Cuauhtémoc,Línea 4,-99.15245099999999,19.442137,"19.442137,-99.152451"
194,PointZ (-99.15413700000000574 19.43680399999999864 0),Plaza de la República,Línea 4,-99.154137,19.436804,"19.436804,-99.154137"
195,PointZ (-99.15100900000000195 19.43336499999999845 0),Expo Reforma,Línea 4,-99.151009,19.433365,"19.433365,-99.151009"
196,PointZ (-99.14354699999999809 19.43060699999999841 0),Plaza San Juan,Línea 4,-99.143547,19.430607,"19.430607,-99.143547"
197,PointZ (-99.14079999999998449 19.43030399999999958 0),Eje Central_Metrobús_Línea 4,Línea 4,-99.14079999999998,19.430304,"19.430304,-99.1408"
198,PointZ (-99.13942000000000121 19.43007100000000165 0),El Salvador,Línea 4,-99.13942,19.430071,"19.430071,-99.13942"
199,PointZ (-99.13240799999999808 19.4291400000000003 0),Museo de la Ciudad,Línea 4,-99.132408,19.42914,"19.42914,-99.132408"
200,PointZ (-99.13280500000001894 19.42892799999999909 0),Museo de la Ciudad,Línea 4,-99.132805,19.428928,"19.428928,-99.132805"
201,PointZ (-99.12552599999997938 19.42834099999999964 0),Circunvalación,Línea 4,-99.12552599999998,19.428341,"19.428341,-99.125526"
202,PointZ (-99.12391700000000583 19.42318200000000061 0),Mercado de Sonora,Línea 4,-99.123917,19.423182,"19.423182,-99.123917"
203,PointZ (-99.11904100000000994 19.42548400000000086 0),Cecilio Robelo,Línea 4,-99.11904100000001,19.425484,"19.425484,-99.119041"
204,PointZ (-99.111976999999996 19.42689299999999974 0),Moctezuma,Línea 4,-99.111977,19.426893,"19.426893,-99.111977"
