id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19360970,"HABITACION EN CASA DE FAMILIA, segura en temblores",88778384,Rony,,Tlalpan,19.30303,-99.17883,Private room,194,15,16,2019-10-16,0.61,2,360
19361722,Habitación principal de departamento,3762983,Daniela,,Cuauhtémoc,19.41969,-99.16188,Private room,232,7,2,2017-07-22,0.07,3,0
19362236,Casa sarita,135689117,Noe,,Cuauhtémoc,19.44368,-99.14707,Private room,3293,1,4,2018-02-25,0.16,1,180
19364480,Departamento muy cerca del Centro de Coyoacán,110715729,Andrés,,Coyoacán,19.34526,-99.1633,Entire home/apt,891,2,163,2019-08-30,5.76,1,73
19365395,Un rincon tranquilo en Coyoacan,57395883,Leticia,,Coyoacán,19.34217,-99.16259,Private room,600,4,0,,,1,0
19365598,New remodeled apartment near Historic Center.,114374897,Alexandros/Naara,,Benito Juárez,19.39517,-99.14361,Entire home/apt,736,4,77,2019-11-18,2.60,1,55
19366028,Spacious and bright apartment in perfect location,11755087,Joaquín,,Miguel Hidalgo,19.40309,-99.17182,Entire home/apt,1007,3,49,2019-08-11,1.72,1,93
19366071,"Condesa, Spacious Suite 2",9470995,Sejen & Pepe,,Cuauhtémoc,19.40499,-99.17087,Private room,445,3,18,2019-11-06,0.61,6,357
19378917,Oasis in Santa Fe,135833927,Patricia,,Álvaro Obregón,19.38686,-99.24065,Private room,852,3,14,2019-08-22,0.54,2,166
19380524,"Breakfast included, 20 minutes from downtown CDMX",75113827,Berenice,,Cuauhtémoc,19.45855,-99.1325,Private room,232,1,216,2019-11-05,7.33,3,347
19380788,Designer Loft in Condesa Built by Renowned Architect,130727257,Ximena And Alberto,,Cuauhtémoc,19.41012,-99.17078,Entire home/apt,2654,1,116,2019-11-18,3.95,1,160
19381066,Another oasis in Santa Fe,135833927,Patricia,,Miguel Hidalgo,19.38892,-99.24051,Private room,697,3,13,2019-07-20,0.46,2,164
19381209,Sunny apt in CDMX's Historic Center (Alameda),135853486,Verónica,,Cuauhtémoc,19.43162,-99.1477,Entire home/apt,872,2,103,2019-11-18,3.51,1,168
19382235,New apartment in a trendy upcoming neighborhood,19479966,Bernarda,,Cuauhtémoc,19.42777,-99.15348,Entire home/apt,678,2,77,2019-11-03,3.13,1,271
19382273,"Departamento, recién amueblado! Cerca de la UNAM",32048005,Michelle,,Coyoacán,19.33846,-99.17571,Entire home/apt,1007,1,22,2019-09-30,0.90,1,355
19383001,1.- Pareja o estudiantes como en familia CDMX,135866647,Jorge,,Miguel Hidalgo,19.44252,-99.21828,Private room,484,1,60,2019-11-10,2.24,3,135
19383217,Beautiful Apt with great location.,23614681,Santiago,,Cuauhtémoc,19.42038,-99.16173,Entire home/apt,1453,2,3,2019-10-27,0.12,1,22
19383862,Cuarto en zona centrica. Perfect room!,62564579,Catherine & Librado,,Cuauhtémoc,19.42783,-99.15518,Private room,329,2,3,2017-09-10,0.10,1,0
19385174,Suite independiente en Narvarte Poniente,76196146,Paulina,,Benito Juárez,19.39036,-99.16093,Private room,794,2,0,,,1,90
19385246,"Casa fuera de la Ciudad, Xochimilco",135888161,Alonso,,Xochimilco,19.25993,-99.02682,Entire home/apt,310,29,0,,,3,90
19386317,Beautiful Room Condesa 3,9470995,Sejen & Pepe,,Miguel Hidalgo,19.40334,-99.17117,Private room,387,3,13,2018-09-18,0.47,6,357
19386816,APT III - 3BR/2BATH IN POLANCO,14539706,Joaquin,,Miguel Hidalgo,19.43365,-99.19054,Entire home/apt,1743,2,156,2019-11-20,5.27,5,268
19386937,Beautiful Suite Condesa 1,9470995,Sejen & Pepe,,Cuauhtémoc,19.40308,-99.17085,Private room,426,3,31,2019-11-08,1.10,6,357
19386992,DEPARTAMENTO AMUEBLADO EN ZONA POLANCO,135890834,Liliann,,Miguel Hidalgo,19.43178,-99.1796,Entire home/apt,1298,365,0,,,1,364
19387851,"La Casa Naranja, Tu Casa.  Close to Narvarte. DB2.",37630869,Manuel,,Benito Juárez,19.38125,-99.14724,Private room,329,1,25,2019-11-18,0.92,7,73
19388252,El Alcatraz,815705,Luis,,Miguel Hidalgo,19.43296,-99.18641,Entire home/apt,1259,2,1,2017-07-24,0.04,7,161
19388355,"Bright & Cozy Polanco 2BR Apt ""El Jazmin""",815705,Luis,,Miguel Hidalgo,19.43351,-99.18693,Entire home/apt,1821,2,33,2019-11-05,1.18,7,170
19388424,Cozy 1BR Apt with French Window seating,815705,Luis,,Miguel Hidalgo,19.43465,-99.18632,Entire home/apt,1356,2,21,2019-11-01,0.78,7,175
19388598,Xochimilco inn,135888161,Alonso,,Xochimilco,19.2604,-99.02655,Private room,291,1,0,,,3,364
19389085,"Beutiful Love Nest ""El Ruiseñor""",815705,Luis,,Miguel Hidalgo,19.43504,-99.18794,Entire home/apt,1937,2,45,2019-11-20,1.63,7,164
19390071,Condesa downtown / newly renovated department,8377512,Juan Americo,,Cuauhtémoc,19.40999,-99.18004,Entire home/apt,1065,2,60,2019-11-11,2.10,2,337
19390230,Casa Magy,135939267,Margarita R,,Cuauhtémoc,19.43425,-99.16971,Private room,504,1,8,2019-11-18,2.00,2,332
19390271,Hermoso loft moderno y minimalista cerca de Polanco Palmas y Reforma,25713400,Célia,,Miguel Hidalgo,19.43479,-99.2116,Entire home/apt,1278,2,177,2019-11-18,6.01,3,105
19390640,Increíble departamento,93943242,Gustavo,,Cuauhtémoc,19.42278,-99.16225,Entire home/apt,1956,2,77,2019-11-04,2.64,2,75
19396130,Quiet and comfortable house in Coyoacan,135974299,Adrian,,Coyoacán,19.34671,-99.15192,Entire home/apt,1220,2,1,2017-11-20,0.04,2,365
19401742,QUIET apt in the HOTTEST spot @ CONDESA 6 guests n,135901463,Tam,,Cuauhtémoc,19.41319,-99.17376,Entire home/apt,1259,1,11,2019-06-09,0.38,4,17
19403967,HomFor Viaducto: Apartamento,84712824,Javier,,Venustiano Carranza,19.40783,-99.10919,Entire home/apt,1104,1,82,2019-11-18,3.02,10,348
19403974,"LOFT ZONA POLANCO/LOMAS ""SP02-C""",47665322,Rocio,,Miguel Hidalgo,19.43458,-99.21121,Entire home/apt,1143,1,86,2019-11-19,3.14,14,360
19406320,Depto 2 recámaras 100m2 de lujo,120232487,David,,Miguel Hidalgo,19.43305,-99.21358,Entire home/apt,2208,1,19,2019-06-27,0.67,10,365
19406507,BEST LOCATION! walk everywhere 3 BR CONDESA ROMA n,136048524,Mon,,Cuauhtémoc,19.40992,-99.1726,Entire home/apt,1162,1,16,2019-08-17,0.54,5,77
19407901,"Best location, facilities and attention",127405786,Carlos,,Álvaro Obregón,19.35554,-99.18295,Private room,291,1,5,2019-11-14,0.18,2,35
19409936,Expansive Apartment with Sweeping Views at Condesa,61276494,Caste,,Cuauhtémoc,19.41565,-99.17827,Entire home/apt,4823,2,104,2019-11-05,3.59,6,284
19410891,MINI LOFT SAN RAFAEL CENTRICO DOS PERSONAS,136080554,Alonso,,Cuauhtémoc,19.441,-99.16546,Private room,252,3,56,2019-11-19,1.91,1,310
19410996,Insurgentes Sur Beautiful Appartment,136082458,Christian,,Tlalpan,19.27898,-99.17326,Private room,407,1,4,2018-11-24,0.16,1,363
